method,alpha,n_obs,median_delta,wilcoxon_p_raw,wilcoxon_p_holm,direction
catboost,0.0,180,-0.02524811430148527,1.0432556169262495e-10,5.216278084631247e-10,kore_worse
xgboost,0.0,180,-0.036073401489229384,3.365026092209812e-22,6.3935495751986426e-21,kore_worse
lightgbm,0.0,180,-0.033242377379276766,3.2105686961412114e-21,5.457966783440059e-20,kore_worse
hist_gbm,0.0,180,-0.032793729287130424,2.6011139484837935e-19,3.3814481330289317e-18,kore_worse
mlp,0.0,180,-0.019206071138012037,3.613852608875992e-12,2.168311565325595e-11,kore_worse
svr_rbf,0.0,180,-0.017660219479271183,1.8515932515370916e-10,7.406373006148366e-10,kore_worse
kernel_ridge_rbf,0.0,180,-0.027958221488331103,7.718729695116507e-20,1.080622157316311e-18,kore_worse
random_forest,0.0,180,-0.02572184594661503,2.515763253026728e-17,2.7673395783294007e-16,kore_worse
extra_trees,0.0,180,-0.02252192338878401,1.576312320851886e-17,1.891574785022263e-16,kore_worse
pygam,0.0,180,-9.223315277084865e-07,0.23312396287145087,0.29057440843008303,tied
knn,0.0,180,0.0,0.14528720421504152,0.29057440843008303,tied
gcv_spline,0.0,180,0.0010884917721470933,7.553814279967371e-14,5.287669995977159e-13,kore_better
aic_spline,0.0,180,0.0014466347843062333,2.0276186321757784e-15,1.8248567689582007e-14,kore_better
bic_spline,0.0,180,2.27945440300914e-12,2.0653512944197183e-06,6.196053883259155e-06,kore_better
cp_spline,0.0,180,0.0011721257249877604,5.768647174929946e-14,4.614917739943957e-13,kore_better
linear,0.0,180,0.020565649009317455,1.4768306122351322e-24,2.953661224470264e-23,kore_better
ridge_cv,0.0,180,0.019576867480906535,2.214044697903147e-21,3.9852804562256645e-20,kore_better
lasso_cv,0.0,180,0.018669660913218977,5.923671228085788e-20,8.885506842128682e-19,kore_better
elasticnet_cv,0.0,180,0.018143584568765386,5.026020953835555e-20,8.041633526136888e-19,kore_better
cv_spline,0.0,180,0.003983676407385617,7.110361680297718e-16,7.110361680297718e-15,kore_better
catboost,0.25,180,0.008719509608652342,6.663001797086778e-10,7.329301976795456e-09,kore_better
xgboost,0.25,180,0.0,0.16885168907785808,0.6754067563114323,tied
lightgbm,0.25,180,0.0,0.3779421131838323,1.0,tied
hist_gbm,0.25,180,0.0,0.6838695798861689,1.0,tied
mlp,0.25,180,0.003743485601664937,2.585962094979189e-06,2.32736588548127e-05,kore_better
svr_rbf,0.25,180,0.0,0.021835348194000976,0.13101208916400586,tied
kernel_ridge_rbf,0.25,180,-0.004098879412194757,0.00035627634709868447,0.0028502107767894758,kore_worse
random_forest,0.25,180,0.0006508698753275887,0.002804983496244149,0.019634884473709042,kore_better
extra_trees,0.25,180,0.0003070902333993501,0.039187509076625354,0.19593754538312677,tied
pygam,0.25,180,0.001629542436726483,5.718601307680041e-09,5.718601307680041e-08,kore_better
knn,0.25,180,0.0,0.43104044630703076,1.0,tied
gcv_spline,0.25,180,0.0053892574238040645,8.070841566071904e-19,1.0492094035893474e-17,kore_better
aic_spline,0.25,180,0.007769325423814158,8.106432262926878e-21,1.3780934846975693e-19,kore_better
bic_spline,0.25,180,0.0030161306428637055,2.8070899817840432e-18,3.368507978140852e-17,kore_better
cp_spline,0.25,180,0.006683554706293308,9.180254287581369e-20,1.2852356002613918e-18,kore_better
linear,0.25,180,0.02022343877008738,1.4768306122351322e-24,2.953661224470264e-23,kore_better
ridge_cv,0.25,180,0.018224512625939413,2.782782851581843e-21,5.0090091328473175e-20,kore_better
lasso_cv,0.25,180,0.01753803448765098,6.528621292701811e-20,9.792931939052717e-19,kore_better
elasticnet_cv,0.25,180,0.016831681875191774,5.107551005177459e-20,8.172081608283935e-19,kore_better
cv_spline,0.25,180,0.014151946057755806,2.49470249246732e-23,4.739934735687908e-22,kore_better
catboost,0.5,180,0.01526269348960085,2.0923415426906903e-20,2.9292781597669663e-19,kore_better
xgboost,0.5,180,0.009524999647677158,1.13561880250699e-10,5.67809401253495e-10,kore_better
lightgbm,0.5,180,0.010347590784275372,7.564820477478991e-10,3.0259281909915965e-09,kore_better
hist_gbm,0.5,180,0.008284573039098221,1.1683744304970943e-07,3.505123291491283e-07,kore_better
mlp,0.5,180,0.013714603403134747,3.7598119510912885e-17,3.759811951091289e-16,kore_better
svr_rbf,0.5,180,0.009321296984099765,6.614467508192887e-11,4.6301272557350213e-10,kore_better
kernel_ridge_rbf,0.5,180,0.0,0.19388092973197668,0.38776185946395336,tied
random_forest,0.5,180,0.01189259110701394,1.7063040343214253e-13,1.3650432274571403e-12,kore_better
extra_trees,0.5,180,0.011684766847192694,8.28611619207459e-11,4.971669715244754e-10,kore_better
pygam,0.5,180,0.005329864157337123,4.443354041526578e-15,3.9990186373739205e-14,kore_better
knn,0.5,180,0.0,0.984124333598961,0.984124333598961,tied
gcv_spline,0.5,180,0.007493201414718553,7.434737660047237e-20,8.917358662771375e-19,kore_better
aic_spline,0.5,180,0.010178553741575256,1.1344612692867347e-22,2.0420302847161224e-21,kore_better
bic_spline,0.5,180,0.005762973635107102,2.037211378587068e-21,3.259538205739309e-20,kore_better
cp_spline,0.5,180,0.0075380428226995665,6.561105445574064e-22,1.1153879257475909e-20,kore_better
linear,0.5,180,0.01988933411584498,1.4768306122351322e-24,2.953661224470264e-23,kore_better
ridge_cv,0.5,180,0.017710578486016114,2.9703240003517583e-21,4.4554860005276376e-20,kore_better
lasso_cv,0.5,180,0.01723746595337588,7.431132218976146e-20,8.917358662771375e-19,kore_better
elasticnet_cv,0.5,180,0.01598791258932695,6.294255441287088e-20,8.182532073673214e-19,kore_better
cv_spline,0.5,180,0.015132797118793525,1.4466018986645713e-23,2.7485436074626856e-22,kore_better
catboost,1.0,180,0.016965130616293483,3.134407338003359e-25,6.268814676006718e-24,kore_better
xgboost,1.0,180,0.014163247277248048,9.069263972714663e-22,9.976190369986129e-21,kore_better
lightgbm,1.0,180,0.01407924578105033,1.47575774271585e-20,1.033030419901095e-19,kore_better
hist_gbm,1.0,180,0.013820521986546166,4.5450341486807544e-18,1.3635102446042264e-17,kore_better
mlp,1.0,180,0.01581937653733434,2.7705217373197855e-24,4.986939127175614e-23,kore_better
svr_rbf,1.0,180,0.013654280609632023,5.745304752764713e-19,2.2981219011058853e-18,kore_better
kernel_ridge_rbf,1.0,180,0.009201591048303358,5.953260254841131e-10,1.1906520509682261e-09,kore_better
random_forest,1.0,180,0.015981888285347093,7.849147239852655e-24,1.1287886930414254e-22,kore_better
extra_trees,1.0,180,0.014532303781763128,1.853124261820711e-22,2.2237491141848532e-21,kore_better
pygam,1.0,180,0.01048028463220306,5.507274755329635e-21,4.405819804263708e-20,kore_better
knn,1.0,180,0.00014434695135498183,0.17152755854059476,0.17152755854059476,tied
gcv_spline,1.0,180,0.008143258588664097,1.6893032199435873e-21,1.6893032199435874e-20,kore_better
aic_spline,1.0,180,0.012262135790782983,5.961813015676428e-24,9.922503956258106e-23,kore_better
bic_spline,1.0,180,0.009262231991768179,1.178871805191727e-22,1.532533346749245e-21,kore_better
cp_spline,1.0,180,0.011419380529304883,7.525257953609502e-24,1.1287886930414254e-22,kore_better
linear,1.0,180,0.01723296560583739,1.4768306122351322e-24,2.8059781632467513e-23,kore_better
ridge_cv,1.0,180,0.015954771915965425,3.791778715228444e-21,3.4126008437055997e-20,kore_better
lasso_cv,1.0,180,0.014989772939637228,1.3064239677740315e-19,6.532119838870158e-19,kore_better
elasticnet_cv,1.0,180,0.015051208876630003,7.389058598774923e-20,4.433435159264953e-19,kore_better
cv_spline,1.0,180,0.015720992561058408,5.8367670330930034e-24,9.922503956258106e-23,kore_better
catboost,2.0,180,0.015010570063925505,1.4316538356588707e-25,2.5769769041859672e-24,kore_better
xgboost,2.0,180,0.014930011798946818,1.8867462517906638e-25,3.018794002865062e-24,kore_better
lightgbm,2.0,180,0.014849005945952804,3.630243509088861e-25,5.4453652636332915e-24,kore_better
hist_gbm,2.0,180,0.014742250753045727,9.140039433099319e-25,1.2796055206339045e-23,kore_better
mlp,2.0,180,0.014928254008293423,1.2688911857499162e-25,2.443998102516037e-24,kore_better
svr_rbf,2.0,180,0.01367463564720836,2.950489323672146e-23,1.7702935942032877e-22,kore_better
kernel_ridge_rbf,2.0,180,0.011993258430291996,6.6476690858086294e-18,1.3295338171617259e-17,kore_better
random_forest,2.0,180,0.014962970688594446,1.2219990512580186e-25,2.443998102516037e-24,kore_better
extra_trees,2.0,180,0.014904946880663357,1.5872291762029864e-25,2.698289599545077e-24,kore_better
pygam,2.0,180,0.011671446322054177,3.5277040532074204e-24,3.5048550280795655e-23,kore_better
knn,2.0,180,0.004806633759039394,0.0002812855750656313,0.0002812855750656313,kore_better
gcv_spline,2.0,180,0.009814050026005532,1.1971036070224057e-23,9.576828856179246e-23,kore_better
aic_spline,2.0,180,0.013336630513974336,1.8862126331010343e-24,2.2634551597212413e-23,kore_better
bic_spline,2.0,180,0.011107097839394852,2.0563495644190827e-23,1.439444695093358e-22,kore_better
cp_spline,2.0,180,0.012832944730298754,2.0994008349196433e-24,2.3093409184116077e-23,kore_better
linear,2.0,180,0.015010570063925505,1.4768306122351322e-24,1.919879795905672e-23,kore_better
ridge_cv,2.0,180,0.014309111604837057,7.132331288154207e-21,3.5661656440771036e-20,kore_better
lasso_cv,2.0,180,0.013962505997671262,6.726644968256925e-19,2.0179934904770773e-18,kore_better
elasticnet_cv,2.0,180,0.013987493837456563,1.0672862505089758e-19,4.269145002035903e-19,kore_better
cv_spline,2.0,180,0.013671578719900823,3.5048550280795654e-24,3.5048550280795655e-23,kore_better
