method,family,ref_method,gm_rmse_ratio,total_fit_time_s,total_n_fits,n_datasets_won,n_datasets_total
aic_spline,spline,kore,1.566349510186776,219.4931353619968,2735,3,25
bic_spline,spline,kore,1.052588506688143,230.59044165099021,2735,7,25
catboost,tree,kore,0.9816340640359928,48849.396855778,437,20,25
cp_spline,spline,kore,1.4063550729255512,219.1551935690013,2735,4,25
cv_spline,spline,kore,1.775338835505764,1069.9044656159986,5530,4,25
elasticnet_cv,linear,kore,1.6502788539425617,16.897819877999606,187625,2,25
extra_trees,tree,kore,0.9668741570266899,3983.7750984129952,11690,20,25
gcv_spline,spline,kore,1.4063550729255512,178.27822140100307,2735,4,25
hist_gbm,tree,kore,0.8874804318256063,2003.9983903950024,8618,22,25
kernel_ridge_rbf,kernel,kore,0.89227735373343,547.0766214630012,10073,21,25
knn,neighbors,kore,1.2360032620055772,62.65034742900116,6014,11,25
kore,spline,kore,1.0,11.24641537798379,789,0,25
lasso_cv,linear,kore,1.5377000056851984,4.200490109995365,37625,3,25
lightgbm,tree,kore,0.883796572571882,3012.3378660359976,9242,21,25
linear,linear,kore,1.5307298350439908,0.2609566480004954,125,2,25
mlp,neural,kore,0.9864471454873668,10665.239405028995,8840,18,25
pygam,spline,kore,1.0433429994287946,257.7718287100033,1375,19,25
random_forest,tree,kore,0.9859584568812765,7860.734672632003,11222,19,25
ridge_cv,linear,kore,1.5281590686610416,4.077934180000733,5000,2,25
svr_rbf,kernel,kore,0.9526822807623143,2922.7774457809974,10976,17,25
xgboost,tree,kore,0.8916002705720238,4589.745600495999,8903,22,25
