max_d,method,n_datasets,gm_rmse_ratio_vs_kore,mean_rank,mean_rank_cnl
20,aic_spline,18,1.3184351584962593,15.0,9.11111111111111
20,bic_spline,18,1.0686821818872472,12.583333333333334,5.611111111111111
20,catboost,18,1.0248312806768052,6.166666666666667,16.27777777777778
20,cp_spline,18,1.2918658537310377,14.194444444444445,9.083333333333334
20,cv_spline,18,1.6585409447274602,14.083333333333334,12.333333333333334
20,elasticnet_cv,18,1.8287732461874417,18.5,18.27777777777778
20,extra_trees,18,1.0132987441747259,5.833333333333333,10.833333333333334
20,gcv_spline,18,1.2918658537310377,14.194444444444445,7.138888888888889
20,hist_gbm,18,0.9238959582645938,6.222222222222222,9.0
20,kernel_ridge_rbf,18,0.9024316759411509,5.888888888888889,5.888888888888889
20,knn,18,1.2679739297356782,11.5,4.0
20,kore,18,1.0,10.333333333333334,2.2222222222222223
20,lasso_cv,18,1.683647207174743,17.555555555555557,18.166666666666668
20,lightgbm,18,0.9159131681028445,5.611111111111111,10.88888888888889
20,linear,18,1.6719734562843585,18.0,19.166666666666668
20,mlp,18,1.0482959629803277,8.333333333333334,14.277777777777779
20,pygam,18,1.069045972310135,9.666666666666666,5.611111111111111
20,random_forest,18,1.0304912876776757,6.444444444444445,13.444444444444445
20,ridge_cv,18,1.6718075741524008,18.0,18.25
20,svr_rbf,18,0.9682261058793088,7.555555555555555,9.916666666666666
20,xgboost,18,0.9247747020761113,5.333333333333333,11.5
30,aic_spline,25,1.566349510186776,15.18,10.2
30,bic_spline,25,1.052588506688143,12.4,6.64
30,catboost,25,0.9816340640359928,7.4,15.44
30,cp_spline,25,1.4063550729255512,14.46,10.34
30,cv_spline,25,1.775338835505764,15.08,13.42
30,elasticnet_cv,25,1.6502788539425617,17.32,17.24
30,extra_trees,25,0.9668741570266899,6.56,10.76
30,gcv_spline,25,1.4063550729255512,14.46,8.82
30,hist_gbm,25,0.8874804318256063,6.08,8.32
30,kernel_ridge_rbf,25,0.89227735373343,5.84,5.64
30,knn,25,1.2360032620055772,12.72,6.16
30,kore,25,1.0,10.64,2.88
30,lasso_cv,25,1.5377000056851984,16.06,16.92
30,lightgbm,25,0.883796572571882,6.0,9.8
30,linear,25,1.5307298350439908,16.76,18.34
30,mlp,25,0.9864471454873668,7.52,13.48
30,pygam,25,1.0433429994287946,8.92,6.08
30,random_forest,25,0.9859584568812765,7.08,12.84
30,ridge_cv,25,1.5281590686610416,16.76,17.26
30,svr_rbf,25,0.9526822807623143,8.4,9.86
30,xgboost,25,0.8916002705720238,5.36,10.56
40,aic_spline,27,1.51972167204995,15.24074074074074,10.462962962962964
40,bic_spline,27,1.051771542489901,12.666666666666666,7.2407407407407405
40,catboost,27,0.9575696589955417,7.222222222222222,15.222222222222221
40,cp_spline,27,1.3754238938680814,14.574074074074074,10.62962962962963
40,cv_spline,27,1.7470315400062595,15.518518518518519,13.703703703703704
40,elasticnet_cv,27,1.6074601039188325,17.11111111111111,16.88888888888889
40,extra_trees,27,0.9480110337107643,6.444444444444445,10.37037037037037
40,gcv_spline,27,1.3754238938680814,14.574074074074074,9.148148148148149
40,hist_gbm,27,0.8688243627470911,5.925925925925926,7.888888888888889
40,kernel_ridge_rbf,27,0.8801920119739988,5.851851851851852,5.833333333333333
40,knn,27,1.2129793610638078,12.666666666666666,6.388888888888889
40,kore,27,1.0,10.851851851851851,3.314814814814815
40,lasso_cv,27,1.4997264233690055,15.833333333333334,16.51851851851852
40,lightgbm,27,0.8687258080561662,5.888888888888889,9.37037037037037
40,linear,27,1.4934229258946914,16.59259259259259,18.25925925925926
40,mlp,27,0.9679684334162327,7.444444444444445,13.037037037037036
40,pygam,27,1.042552917613341,9.407407407407407,6.7592592592592595
40,random_forest,27,0.9652797048128005,6.925925925925926,12.518518518518519
40,ridge_cv,27,1.4938447783379094,16.62962962962963,17.25925925925926
40,svr_rbf,27,0.9348092558097282,8.296296296296296,9.962962962962964
40,xgboost,27,0.8777234333614091,5.333333333333333,10.222222222222221
50,aic_spline,29,1.540052654705124,15.120689655172415,10.689655172413794
50,bic_spline,29,1.2652985258850238,13.068965517241379,7.689655172413793
50,catboost,29,1.1042370111675923,7.724137931034483,15.120689655172415
50,cp_spline,29,1.6243238577076486,14.844827586206897,10.844827586206897
50,cv_spline,29,2.029428509927448,15.724137931034482,13.706896551724139
50,elasticnet_cv,29,1.8299161433683944,16.96551724137931,16.67241379310345
50,extra_trees,29,1.101810899508456,6.862068965517241,10.413793103448276
50,gcv_spline,29,1.4034475298104763,14.5,9.46551724137931
50,hist_gbm,29,0.9840031719416084,6.103448275862069,7.9655172413793105
50,kernel_ridge_rbf,29,0.8895553908533723,5.862068965517241,5.913793103448276
50,knn,29,1.4074747342795806,12.862068965517242,6.896551724137931
50,kore,29,1.0,10.379310344827585,3.5
50,lasso_cv,29,1.4433600408047575,15.224137931034482,15.89655172413793
50,lightgbm,29,0.9886292436361285,6.206896551724138,9.448275862068966
50,linear,29,0.8754019010636332,15.758620689655173,17.948275862068964
50,mlp,29,1.1747829223181836,8.137931034482758,13.086206896551724
50,pygam,29,0.6261504033100652,9.0,6.844827586206897
50,random_forest,29,1.1206180722626844,7.0344827586206895,12.344827586206897
50,ridge_cv,29,1.0522154272863975,15.827586206896552,16.655172413793103
50,svr_rbf,29,1.012680484487816,8.068965517241379,9.724137931034482
50,xgboost,29,0.978000350751782,5.724137931034483,10.172413793103448
