scenario,d,seed,n_train,kore_rmse,kore_G,kore_structure,cv_rmse,cv_G,cv_structure,disc_rmse
3-way interactions,12,0,3600,0.1094167371566329,1,pairwise,0.109416737156638,1,pairwise,
3-way interactions,12,1,3600,0.0936062093987301,1,pairwise,0.08921903858621502,3,pairwise,
3-way interactions,12,2,3600,0.09255495058179919,3,pairwise,0.09255495058183888,3,pairwise,
3-way interactions,12,3,3600,0.09294025197875018,3,pairwise,0.09294025197870753,3,pairwise,
3-way interactions,12,4,3600,0.08643404334787869,3,pairwise,0.08643404334782492,3,pairwise,
3-way interactions,24,0,7200,0.0976290392393778,3,pairwise,0.09762903923942086,3,pairwise,
3-way interactions,24,1,7200,0.09582508448246435,3,pairwise,0.09582508448248317,3,pairwise,
3-way interactions,24,2,7200,0.09316668255529965,3,pairwise,0.09316668255524464,3,pairwise,
3-way interactions,24,3,7200,0.09257790033053552,3,pairwise,0.09257790033055578,3,pairwise,
3-way interactions,24,4,7200,0.08588379671441243,3,pairwise,0.08588379671434634,3,pairwise,
non-smooth,12,0,3600,0.154081052418533,15,additive,0.1392650492522496,18,additive,
non-smooth,12,1,3600,0.17920863774544674,15,additive,0.16331686261149642,20,additive,
non-smooth,12,2,3600,0.16868029339196908,15,additive,0.14994740684701038,20,additive,
non-smooth,12,3,3600,0.14996085845106144,15,additive,0.13905212270445122,19,additive,
non-smooth,12,4,3600,0.19739115904939802,15,additive,0.1628674293166191,20,additive,
non-smooth,24,0,7200,0.18032435742727554,15,additive,0.1607572850172536,20,additive,
non-smooth,24,1,7200,0.17639222374061472,15,additive,0.1563359459245709,20,additive,
non-smooth,24,2,7200,0.17842739676814762,15,additive,0.16008191328686885,20,additive,
non-smooth,24,3,7200,0.1766104991996689,15,additive,0.15826346393586274,19,additive,
non-smooth,24,4,7200,0.17612973809775234,15,additive,0.14542409681603935,20,additive,
misspecified graph,12,0,1440,0.2289087969108921,1,additive,0.004957048897790526,3,pairwise,0.0062208903025286685
misspecified graph,12,1,1440,0.21839533459589716,3,additive,0.0050942241366970925,3,pairwise,0.006115218631090205
misspecified graph,12,2,1440,0.2102503159440882,1,additive,0.004793162924335205,3,pairwise,0.0061010620894318785
misspecified graph,12,3,1440,0.20735531209062055,1,additive,0.004604687623386738,3,pairwise,0.005639515209323967
misspecified graph,12,4,1440,0.239371213383661,1,additive,0.005447738939210014,3,pairwise,0.0068128454564449
misspecified graph,24,0,2880,0.21667527204527423,1,additive,0.004621088827000504,3,pairwise,0.005769868825705796
misspecified graph,24,1,2880,0.210700180603551,1,additive,0.005150089121151593,3,pairwise,0.006370420038627513
misspecified graph,24,2,2880,0.21725002622204373,3,additive,0.005010957580075224,3,pairwise,0.005642968844159346
misspecified graph,24,3,2880,0.21143348688419766,3,additive,0.0049570440720835655,3,pairwise,0.0061586470053567694
misspecified graph,24,4,2880,0.24153334904298432,1,additive,0.0051950366203199535,3,pairwise,0.0065021466649524285
correct (control),12,0,1440,0.005112345771755531,3,pairwise,0.005112345771751545,3,pairwise,
correct (control),12,1,1440,0.00538053189595866,3,pairwise,0.005380531895972998,3,pairwise,
correct (control),12,2,1440,0.005040022155672274,3,pairwise,0.005040022155641143,3,pairwise,
correct (control),12,3,1440,0.005081450225638378,3,pairwise,0.005081450225632967,3,pairwise,
correct (control),12,4,1440,0.005090407929632824,3,pairwise,0.005090407929592527,3,pairwise,
correct (control),24,0,2880,0.004824112111897651,3,pairwise,0.00482411211184072,3,pairwise,
correct (control),24,1,2880,0.005037805442441325,3,pairwise,0.005037805442439908,3,pairwise,
correct (control),24,2,2880,0.005133781456692685,3,pairwise,0.005133781456739361,3,pairwise,
correct (control),24,3,2880,0.005092428937006702,3,pairwise,0.005092428936977112,3,pairwise,
correct (control),24,4,2880,0.005130793519550441,3,pairwise,0.005130793519536674,3,pairwise,
