family,d,n_train,seed,kore_time,kore_fits,kore_rmse,cv_time,cv_fits,cv_rmse,time_speedup
additive,10,1200,0,0.43364476299984744,14,0.008007638112121657,0.6820449749998261,91,0.008496994600226885,1.5728195822811448
additive,10,1200,1,0.3433757030002198,14,0.008326581328952986,4.455742739000016,91,0.008131423269475527,12.976290110419267
additive,10,1200,2,0.28066454200006774,14,0.006536442186374752,1.690482147000239,91,0.006708366026225415,6.023141131236417
additive,20,2400,0,1.1843009760000314,14,0.00825155562174655,12.0189662089997,91,0.007924127682420772,10.148574097771732
additive,20,2400,1,1.2040245709999908,14,0.007495832629922271,12.003616279999733,91,0.007474985562724129,9.969577506238304
additive,20,2400,2,1.1778378969997902,14,0.006551772370649334,2.698083826999664,91,0.00635876014405803,2.290708962474608
additive,40,4800,0,2.143197581000095,14,0.008520214363024222,23.79790455600005,91,0.008697377917202353,11.103924699698041
additive,40,4800,1,2.575307334000172,14,0.007850005540388474,36.3587693190002,91,0.00783756857040947,14.11822536245601
additive,40,4800,2,2.1603635899991787,14,0.007530389481382605,34.23762793199967,91,0.007488168777220314,15.848085984458146
additive,80,9600,0,6.30507389900049,14,0.008095241452254808,75.76634850200026,91,0.007954749219478533,12.016726483413793
additive,80,9600,1,6.109434942000007,14,0.00802959860809469,78.93908542499958,91,0.008149412724050991,12.920848846809683
additive,80,9600,2,6.046214929999223,14,0.00781661677342712,68.26916348899977,91,0.007692612638200123,11.291223398339982
pairwise,10,1200,0,0.24646991500048898,9,0.00507786819763412,5.6076621610000075,91,0.005077868197658419,22.751913396768455
pairwise,10,1200,1,0.24259621200053516,9,0.004933779980016207,4.457140512000478,91,0.004933779980036,18.372671507297262
pairwise,10,1200,2,0.2349047999996401,9,0.0050159413209888235,5.109587730000385,91,0.005015941320980499,21.75173827869083
pairwise,20,2400,0,0.6167730139995911,9,0.0051895122043492765,3.7905790519998845,91,0.005189512204384967,6.145825070100097
pairwise,20,2400,1,0.6005159209998965,9,0.005286245112415242,15.875538690000212,91,0.0052862451122952965,26.43649924146299
pairwise,20,2400,2,0.5736637230002088,9,0.00543960975436981,6.1380888349995075,91,0.005439609754261599,10.69980301856611
pairwise,40,4800,0,2.2640506979996644,9,0.005208174846768561,38.882136029999856,91,0.005208174846824614,17.17370377984602
pairwise,40,4800,1,1.5143112879995897,9,0.004880851779224107,22.55936597699929,91,0.004880851779192239,14.897442920603389
pairwise,40,4800,2,1.4337654480004858,10,0.005729491923355182,22.42363658100021,91,0.005118150115799481,15.639682635867658
pairwise,80,9600,0,3.3985155440004746,9,0.005107593132091046,71.68895744100064,91,0.005107593132078371,21.094197308455986
pairwise,80,9600,1,4.6351814749996265,9,0.005170489113912389,78.84706501200071,91,0.005170489114014976,17.010566994468554
pairwise,80,9600,2,3.926750739000454,9,0.005165423043068813,79.352302022,91,0.005165423043110741,20.20813321148033
